first_name,last_name,email_address,courses,grades,marks
harika6,ganna6,harika_ganna6@gmail.com,Data201,A,92
harika7,ganna7,harika_ganna7@gmail.com,Data200,B,65
harika2,ganna2,harika_s2@gmail.com,Data201,A-,88
harika3,ganna3,harika_s3@gmail.com,Data202,C,55
harika4,ganna4,harika_s4@gmail.com,Data200,B-,62
harika5,ganna5,harika_s5@gmail.com,Data201,B+,76
harika1,ganna1,harika_s6@gmail.com,"Data202,Data200,Data201","A,B,C","99,67,45"
harika,ganna,harika_s7@gmail.com,"Data200,Data201,Data202","A,A-,B-","98,85,59"
harika8,ganna8,harika_s8@gmail.com,Data201,B,66
harika,ganna,harika_s9@gmail.com,Data200,A,97
Harika,Ganna,harika_s11@gmail.com,,,
harika,ganna,harika_s1@gmail.com,"Data200,Data201,Data230","A,A-,B+","95,83,89"
harika,ganna,harika_s12@gmail.com,Data200,A-,83
SortFirst0,SortLast0,sort0@email.com,,,95
SortFirst1,SortLast1,sort1@email.com,,,50
SortFirst2,SortLast2,sort2@email.com,,,97
SortFirst3,SortLast3,sort3@email.com,,,79
SortFirst4,SortLast4,sort4@email.com,,,98
SortFirst5,SortLast5,sort5@email.com,,,67
SortFirst6,SortLast6,sort6@email.com,,,77
SortFirst7,SortLast7,sort7@email.com,,,59
SortFirst8,SortLast8,sort8@email.com,,,67
SortFirst9,SortLast9,sort9@email.com,,,83
